Pid,OPTid,Px,Py,rD,cD,cluster,notCore
0,0,55.0,40.0,9223372036854775807,11.1803398875,99,False
8,1,53.0,51.0,11.1803398875,14.7648230602,99,False
10,2,46.0,38.0,11.1803398875,14.7648230602,99,False
12,3,54.0,41.0,11.1803398875,10.0498756211,99,False
6,4,67.0,39.0,12.0415945788,9223372036854775807,99,True
14,4,48.0,42.0,10.0498756211,10.295630141,99,False
2,5,54.0,80.0,9223372036854775807,17.0293863659,99,False
4,5,60.0,72.0,17.0293863659,10.0,99,False
3,6,67.0,69.0,10.0,9223372036854775807,99,True
9,7,56.0,81.0,10.0,16.2788205961,99,False
11,8,54.0,77.0,10.0,15.2643375225,99,False
1,9223372036854775807,64.0,21.0,9223372036854775807,9223372036854775807,99,True
5,9223372036854775807,74.0,18.0,9223372036854775807,9223372036854775807,99,True
7,9223372036854775807,37.0,74.0,9223372036854775807,9223372036854775807,99,True
13,9223372036854775807,25.0,40.0,9223372036854775807,9223372036854775807,99,True
16,0,81.0,47.0,9223372036854775807,30.2324329157,99,False
18,0,38.0,50.0,9223372036854775807,12.7279220614,99,False
15,1,26.0,53.0,12.7279220614,9223372036854775807,99,True
20,2,84.0,54.0,30.2324329157,9223372036854775807,99,True
21,2,74.0,37.0,30.2324329157,9223372036854775807,99,True
22,2,67.0,44.0,30.2324329157,9223372036854775807,99,True
24,2,43.0,64.0,14.8660687473,9223372036854775807,99,True
25,2,29.0,41.0,12.7279220614,14.3178210633,99,False
26,3,16.0,35.0,14.3178210633,9223372036854775807,99,True
27,3,39.0,43.0,12.7279220614,16.4012194669,99,False
28,4,50.0,48.0,12.7279220614,9223372036854775807,99,True
17,9223372036854775807,52.0,19.0,9223372036854775807,9223372036854775807,99,True
19,9223372036854775807,56.0,30.0,9223372036854775807,9223372036854775807,99,True
23,9223372036854775807,44.0,70.0,9223372036854775807,9223372036854775807,99,True
29,9223372036854775807,61.0,77.0,9223372036854775807,9223372036854775807,99,True
30,0,41.0,26.0,9223372036854775807,13.0,99,False
34,1,36.0,27.0,13.0,18.0277563773,99,False
38,2,41.0,19.0,13.0,12.1655250606,99,False
42,3,40.0,29.0,12.1655250606,15.2643375225,99,False
31,4,64.0,27.0,9223372036854775807,23.0217288664,99,False
32,4,29.0,81.0,9223372036854775807,43.0464865001,99,False
35,4,61.0,22.0,23.0217288664,20.2237484162,99,False
36,4,29.0,74.0,43.0464865001,43.2897216438,99,False
39,4,65.0,25.0,20.2237484162,24.0208242989,99,False
40,4,28.0,72.0,43.0464865001,44.5533388199,99,False
43,4,53.0,21.0,12.1655250606,12.6491106407,99,False
44,5,20.0,71.0,43.0464865001,46.5188133985,99,False
33,9223372036854775807,72.0,79.0,9223372036854775807,9223372036854775807,99,True
37,9223372036854775807,80.0,75.0,9223372036854775807,9223372036854775807,99,True
41,9223372036854775807,82.0,82.0,9223372036854775807,9223372036854775807,99,True
45,0,68.0,79.0,9223372036854775807,36.2215405525,99,False
46,0,36.0,25.0,9223372036854775807,18.0277563773,99,False
47,0,59.0,18.0,9223372036854775807,18.0277563773,99,False
49,0,70.0,82.0,36.2215405525,38.6393581727,99,False
50,0,44.0,28.0,18.0277563773,10.1980390272,99,False
51,1,54.0,26.0,10.1980390272,10.1980390272,99,False
55,2,54.0,31.0,10.1980390272,13.9283882772,99,False
59,3,60.0,24.0,10.1980390272,16.4924225025,99,False
53,4,79.0,77.0,36.2215405525,47.0425339454,99,False
54,4,39.0,29.0,10.1980390272,15.1327459504,99,False
57,4,75.0,72.0,36.2215405525,43.1045241245,99,False
58,4,38.0,25.0,10.1980390272,16.0312195419,99,False
48,9223372036854775807,25.0,75.0,9223372036854775807,9223372036854775807,99,True
52,9223372036854775807,32.0,75.0,9223372036854775807,9223372036854775807,99,True
56,9223372036854775807,23.0,76.0,9223372036854775807,9223372036854775807,99,True
60,0,29.0,81.0,9223372036854775807,42.9534631898,99,False
61,0,75.0,71.0,9223372036854775807,44.5533388199,99,False
62,0,40.0,28.0,9223372036854775807,17.4642491966,99,False
64,0,25.0,78.0,42.9534631898,46.389654019,99,False
65,0,80.0,68.0,44.5533388199,48.754486973,99,False
66,0,40.0,28.0,17.4642491966,17.4642491966,99,False
68,0,31.0,78.0,42.9534631898,40.4474968323,99,False
69,0,71.0,72.0,44.5533388199,40.4474968323,99,False
70,0,34.0,18.0,17.4642491966,23.769728648,99,False
72,0,21.0,69.0,40.4474968323,45.1884941108,99,False
73,0,73.0,68.0,40.4474968323,43.1740662898,99,False
74,0,39.0,22.0,17.4642491966,18.1107702763,99,False
63,9223372036854775807,57.0,24.0,9223372036854775807,9223372036854775807,99,True
67,9223372036854775807,59.0,24.0,9223372036854775807,9223372036854775807,99,True
71,9223372036854775807,59.0,23.0,9223372036854775807,9223372036854775807,99,True
75,0,60.0,19.0,9223372036854775807,21.0950231097,99,False
76,0,32.0,80.0,9223372036854775807,36.3455636908,99,False
77,0,78.0,79.0,9223372036854775807,46.0108682813,99,False
78,0,40.0,31.0,9223372036854775807,20.0,99,False
79,0,54.0,30.0,20.0,14.0356688476,99,False
