Pid,OPTid,Px,Py,rD,cD,cluster,isCore
8,0,26.0,30.0,9223372036854775807,8.0,1,False
0,1,26.0,27.0,8.0,9223372036854775807,1,True
2,2,26.0,38.0,8.0,9223372036854775807,1,True
4,3,27.0,36.0,8.0,9223372036854775807,1,True
6,4,29.0,27.0,8.0,9223372036854775807,1,True
1,9223372036854775807,49.0,47.0,9223372036854775807,9223372036854775807,99,True
3,9223372036854775807,49.0,60.0,9223372036854775807,9223372036854775807,99,True
5,9223372036854775807,51.0,46.0,9223372036854775807,9223372036854775807,99,True
7,9223372036854775807,42.0,61.0,9223372036854775807,9223372036854775807,99,True
9,9223372036854775807,46.0,64.0,9223372036854775807,9223372036854775807,99,True
