Pid,OPTid,Px,Py,rD,cD,cluster,isCore
10,0,20.0,8.5,9223372036854775807,5.5,1,False
36,1,20.0,14.0,5.5,4.12310562562,1,False
22,2,20.0,15.0,4.12310562562,4.24264068712,1,False
40,3,18.0,12.0,4.12310562562,4.03112887415,1,False
88,4,20.0,10.0,4.03112887415,4.0,1,False
38,5,17.0,8.0,4.0,4.24264068712,1,False
74,6,14.0,13.0,4.12310562562,3.16227766017,1,False
28,7,15.0,16.0,3.16227766017,3.0,1,False
30,8,17.0,18.0,3.0,2.82842712475,1,False
48,9,15.0,16.0,2.82842712475,3.0,1,False
62,10,15.0,20.0,2.82842712475,1.41421356237,1,False
42,11,15.0,21.0,1.41421356237,2.0,1,False
54,12,14.0,21.0,1.41421356237,1.41421356237,1,False
24,13,13.0,20.0,1.41421356237,2.2360679775,1,False
64,14,15.0,19.0,1.41421356237,2.2360679775,1,False
66,15,15.0,20.0,1.41421356237,1.41421356237,1,False
56,16,13.0,17.0,2.82842712475,2.82842712475,1,False
58,17,12.0,15.0,2.82842712475,2.82842712475,1,False
46,18,10.0,16.0,2.82842712475,3.16227766017,1,False
84,19,12.0,14.0,2.82842712475,3.16227766017,1,False
80,20,19.0,18.0,2.82842712475,4.12310562562,1,False
92,21,11.0,22.0,2.82842712475,4.12310562562,1,False
78,22,15.0,24.0,3.0,4.0,1,False
34,23,10.0,19.0,3.16227766017,3.60555127546,1,False
82,24,11.0,11.0,3.16227766017,3.16227766017,1,False
44,25,9.0,11.0,3.16227766017,4.24264068712,1,False
72,26,10.0,9.0,3.16227766017,3.60555127546,1,False
86,27,14.0,11.0,3.16227766017,4.12310562562,1,False
70,28,7.0,7.0,3.60555127546,5.09901951359,1,False
98,29,12.0,7.0,3.60555127546,5.0,1,False
26,30,6.0,12.0,4.24264068712,5.09901951359,1,False
14,31,24.0,17.5,4.71699056603,4.5,1,False
50,32,20.0,20.0,3.60555127546,4.12310562562,1,False
32,33,21.0,24.0,4.12310562562,3.60555127546,1,False
60,34,21.0,24.0,3.60555127546,3.60555127546,1,False
76,35,24.0,22.0,3.60555127546,3.60555127546,1,False
68,36,23.0,20.0,3.60555127546,3.16227766017,1,False
20,37,24.0,17.0,3.16227766017,4.472135955,1,False
52,38,24.0,17.0,3.16227766017,4.472135955,1,False
90,39,21.0,25.0,3.60555127546,4.24264068712,1,False
94,40,22.0,24.0,3.60555127546,2.82842712475,1,False
21,41,51.0,52.0,9223372036854775807,5.09901951359,2,False
35,42,46.0,51.0,5.09901951359,2.2360679775,2,False
57,43,45.0,52.0,2.2360679775,1.41421356237,2,False
59,44,45.0,53.0,1.41421356237,2.2360679775,2,False
67,45,44.0,53.0,1.41421356237,2.0,2,False
71,46,44.0,52.0,1.41421356237,2.2360679775,2,False
27,47,42.0,53.0,2.0,2.2360679775,2,False
61,48,45.0,50.0,2.0,3.0,2,False
63,49,41.0,54.0,2.2360679775,2.2360679775,2,False
25,50,39.0,53.0,2.2360679775,3.0,2,False
69,51,40.0,52.0,2.2360679775,2.2360679775,2,False
95,52,39.0,53.0,2.2360679775,3.0,2,False
87,53,48.0,53.0,2.82842712475,3.16227766017,2,False
75,54,45.0,47.0,3.0,4.12310562562,2,False
93,55,41.0,49.0,3.16227766017,4.12310562562,2,False
51,56,38.0,56.0,3.16227766017,3.60555127546,2,False
81,57,36.0,55.0,3.60555127546,5.0,2,False
45,58,37.0,60.0,4.12310562562,4.0,2,False
33,59,41.0,60.0,4.0,4.12310562562,2,False
49,60,39.0,63.0,4.0,3.60555127546,2,False
55,61,37.0,63.0,3.60555127546,5.0,2,False
79,62,37.0,61.0,3.60555127546,4.12310562562,2,False
23,63,44.0,60.0,4.12310562562,4.472135955,2,False
97,64,48.0,57.0,4.0,3.16227766017,2,False
31,65,50.0,58.0,3.16227766017,3.60555127546,2,False
53,66,50.0,57.0,3.16227766017,2.82842712475,2,False
37,67,52.0,55.0,2.82842712475,3.60555127546,2,False
