Pid,OPTid,Px,Py,rD,cD,cluster,notCore
0,0,40.25,0.0,9223372036854775807,8.40014880821,1,False
13,1,33.0,0.0,8.40014880821,14.7648230602,1,False
21,2,46.0,-2.0,8.40014880821,12.5299640861,1,False
25,3,34.0,0.0,8.40014880821,13.9283882772,1,False
37,4,47.0,5.0,8.40014880821,14.8660687473,1,False
22,12,20.0,13.0,12.3693168769,8.54400374532,2,False
10,13,14.0,9.0,8.54400374532,7.28010988928,2,False
14,14,15.0,11.0,7.28010988928,6.40312423743,2,False
18,15,12.0,16.0,6.40312423743,6.40312423743,2,False
30,16,17.0,20.0,6.40312423743,7.61577310586,2,False
34,17,10.0,22.0,6.40312423743,7.28010988928,2,False
46,18,10.0,15.0,6.40312423743,7.21110255093,2,False
42,19,15.0,27.0,7.28010988928,11.7046999107,2,False
12,21,2.0,35.0,9.05538513814,5.09901951359,3,False
28,22,1.0,39.0,5.09901951359,8.54400374532,3,False
36,23,6.0,36.0,5.09901951359,5.83095189485,3,False
48,24,1.0,40.0,5.09901951359,8.24621125124,3,False
16,25,10.0,38.0,5.83095189485,9.05538513814,3,False
20,26,10.0,42.0,7.21110255093,9.48683298051,3,False
24,27,-1.0,48.0,8.24621125124,12.5299640861,3,False
44,28,-5.0,30.0,8.60232526704,11.6619037897,3,False
26,37,6.0,8.0,8.0622577483,10.0,3,False
17,5,40.0,-13.0,12.5299640861,14.7648230602,99,False
8,6,35.25,33.0,9223372036854775807,15.1348108677,99,False
29,7,43.0,20.0,15.1348108677,11.7046999107,99,False
33,8,36.0,16.0,11.7046999107,14.7648230602,99,False
41,9,49.0,23.0,11.7046999107,15.0332963784,99,False
45,10,32.0,16.0,11.7046999107,12.3693168769,99,False
49,11,34.0,22.0,11.7046999107,11.0707949127,99,False
40,20,4.0,31.0,10.8166538264,9.05538513814,99,False
11,29,46.0,70.0,9223372036854775807,16.1554944214,99,False
15,30,38.0,56.0,16.1554944214,13.0,99,False
23,31,44.0,66.0,13.0,13.6014705087,99,False
27,32,42.0,51.0,13.0,10.0,99,False
19,33,46.0,44.0,10.0,10.0498756211,99,False
35,34,46.0,47.0,10.0,10.7703296143,99,False
43,35,36.0,43.0,10.0,10.6301458127,99,False
47,36,44.0,36.0,10.0498756211,11.1803398875,99,False
38,38,17.0,0.0,9.48683298051,13.6014705087,99,False
31,39,50.0,61.0,12.8062484749,12.8062484749,99,False
39,40,52.0,55.0,10.7703296143,12.5299640861,99,False
32,41,7.0,56.0,12.5299640861,18.0277563773,99,False
1,9223372036854775807,65.25,-54.0,9223372036854775807,9223372036854775807,99,True
2,9223372036854775807,36.25,115.0,9223372036854775807,9223372036854775807,99,True
3,9223372036854775807,73.25,83.0,9223372036854775807,9223372036854775807,99,True
4,9223372036854775807,53.25,92.0,9223372036854775807,9223372036854775807,99,True
5,9223372036854775807,93.25,-62.0,9223372036854775807,9223372036854775807,99,True
6,9223372036854775807,73.25,-4.0,9223372036854775807,9223372036854775807,99,True
7,9223372036854775807,-11.75,97.0,9223372036854775807,9223372036854775807,99,True
9,9223372036854775807,43.25,118.0,9223372036854775807,9223372036854775807,99,True
